"MouseGene","MUSENSG","HumanGene"
"1700040L02Rik","ENSMUSG00000019945","CABCOCO1"
"Vps50","ENSMUSG00000001376","VPS50"
"Ccdc103","ENSMUSG00000020930","CCDC103"
"Rhobtb3","ENSMUSG00000021589","RHOBTB3"
"Ttc29","ENSMUSG00000037101","TTC29"
"Lrrc69","ENSMUSG00000023151","LRRC69"
"Calr3","ENSMUSG00000019732","CALR3"
"Ube2d2b","ENSMUSG00000063447","UBE2D4"
"Clhc1","ENSMUSG00000020461","CLHC1"
"Pradc1","ENSMUSG00000030008","PRADC1"
"Slc25a31","ENSMUSG00000069041","SLC25A31"
"Itpripl1","ENSMUSG00000074825","ITPRIPL1"
"Nptxr","ENSMUSG00000022421","NPTXR"
"Arhgef6","ENSMUSG00000031133","ARHGEF6"
"1700034J05Rik","ENSMUSG00000040163","C12orf71"
"Actrt2","ENSMUSG00000051276","ACTRT2"
"Actrt1","ENSMUSG00000046615","ACTRT1"
"Col20a1","ENSMUSG00000016356","COL20A1"
"Phospho2","ENSMUSG00000027088","PHOSPHO2"
"Tex33","ENSMUSG00000062154","TEX33"
"Dcbld2","ENSMUSG00000035107","DCBLD2"
"Bpifa3","ENSMUSG00000027482","BPIFA3"
"Hbp1","ENSMUSG00000002996","HBP1"
"Tepp","ENSMUSG00000090206","TEPP"
"Nme8","ENSMUSG00000041138","NME8"
"Armt1","ENSMUSG00000061759","ARMT1"
"Ccsap","ENSMUSG00000031971","CCSAP"
"Prox2","ENSMUSG00000042320","PROX2"
"Tex35","ENSMUSG00000026592","TEX35"
"Hspa12a","ENSMUSG00000025092","HSPA12A"
"Wdr13","ENSMUSG00000031166","WDR13"
"1700067K01Rik","ENSMUSG00000046408","C19orf67"
"Izumo1","ENSMUSG00000064158","IZUMO1"
"Ms4a13","ENSMUSG00000057240","MS4A13"
"1700066M21Rik","ENSMUSG00000038323","C2orf69"
"Rnf38","ENSMUSG00000035696","RNF38"
"Kif2b","ENSMUSG00000046755","KIF2B"
"Spata18","ENSMUSG00000029155","SPATA18"
"Iws1","ENSMUSG00000024384","IWS1"
"Mipol1","ENSMUSG00000047022","MIPOL1"
"Mbd3l1","ENSMUSG00000038691","MBD3L1"
"Pebp4","ENSMUSG00000022085","PEBP4"
"1700094D03Rik","ENSMUSG00000027942","C1orf189"
"Vgll3","ENSMUSG00000091243","VGLL3"
"Camkmt","ENSMUSG00000071037","CAMKMT"
"1700001O22Rik","ENSMUSG00000044320","C9orf50"
"Trp53tg5","ENSMUSG00000017720","TP53TG5"
"Marveld3","ENSMUSG00000001672","MARVELD3"
"Zfp433","ENSMUSG00000096795","ZNF433"
"1700125H20Rik","ENSMUSG00000018479","C17orf64"
"Ptges3l","ENSMUSG00000097487","PTGES3L"
"Capn9","ENSMUSG00000031981","CAPN9"
"Cybrd1","ENSMUSG00000027015","CYBRD1"
"Spns1","ENSMUSG00000030741","SPNS1"
"Cabp4","ENSMUSG00000024842","CABP4"
"Thoc3","ENSMUSG00000025872","THOC3"
"2410004P03Rik","ENSMUSG00000071398","C2orf50"
"Ttc21b","ENSMUSG00000034848","TTC21B"
"Sult6b1","ENSMUSG00000038045","SULT6B1"
"Rec114","ENSMUSG00000074269","REC114"
"Wdr75","ENSMUSG00000025995","WDR75"
"Psma8","ENSMUSG00000036743","PSMA8"
"Zbtb8a","ENSMUSG00000028807","ZBTB8A"
"Trmt11","ENSMUSG00000019792","TRMT11"
"Atg16l2","ENSMUSG00000047767","ATG16L2"
"Bloc1s2","ENSMUSG00000057506","BLOC1S2"
"Glipr1","ENSMUSG00000056888","GLIPR1"
"2410089E03Rik","ENSMUSG00000039801","C5orf42"
"Dppa4","ENSMUSG00000058550","DPPA4"
"Ndufaf7","ENSMUSG00000024082","NDUFAF7"
"Ppp2r1b","ENSMUSG00000032058","PPP2R1B"
"Dppa2","ENSMUSG00000072419","DPPA2"
"Tubb2b","ENSMUSG00000045136","TUBB2B"
"Mvb12a","ENSMUSG00000031813","MVB12A"
"Dmkn","ENSMUSG00000060962","DMKN"
"Rbm20","ENSMUSG00000043639","RBM20"
"Cst6","ENSMUSG00000024846","CST6"
"1110017D15Rik","ENSMUSG00000028441","C9orf24"
"Sh3bgrl3","ENSMUSG00000028843","SH3BGRL3"
"Mcee","ENSMUSG00000033429","MCEE"
"Psd","ENSMUSG00000037126","PSD"
"Zfp383","ENSMUSG00000099689","ZNF383"
"Fcf1","ENSMUSG00000021243","FCF1"
"1110008P14Rik","ENSMUSG00000039195","C9orf16"
"Haus7","ENSMUSG00000031371","HAUS7"
"Cby1","ENSMUSG00000022428","CBY1"
"Man2c1","ENSMUSG00000032295","MAN2C1"
"1110034G24Rik","ENSMUSG00000044991","C20orf196"
"Gadl1","ENSMUSG00000056880","GADL1"
"Whrn","ENSMUSG00000039137","WHRN"
"Thap1","ENSMUSG00000037214","THAP1"
"Kif2c","ENSMUSG00000028678","KIF2C"
"Tex36","ENSMUSG00000030976","TEX36"
"Satl1","ENSMUSG00000025527","SATL1"
"Fam83e","ENSMUSG00000054161","FAM83E"
"Mfsd12","ENSMUSG00000034854","MFSD12"
"Ppp1r21","ENSMUSG00000034709","PPP1R21"
"Poldip3","ENSMUSG00000041815","POLDIP3"
"Dcaf4","ENSMUSG00000021222","DCAF4"
"Eif3k","ENSMUSG00000053565","EIF3K"
"Fam98c","ENSMUSG00000030590","FAM98C"
"Atp6v1d","ENSMUSG00000021114","ATP6V1D"
"Ifitm5","ENSMUSG00000025489","IFITM5"
"Slc35b2","ENSMUSG00000037089","SLC35B2"
"Ankrd45","ENSMUSG00000044835","ANKRD45"
"Ankrd42","ENSMUSG00000041343","ANKRD42"
"Fam110a","ENSMUSG00000027459","FAM110A"
"D3Ertd751e","ENSMUSG00000025766","C4orf33"
"4930415F15Rik","ENSMUSG00000020191","SPATA48"
"Fam161a","ENSMUSG00000049811","FAM161A"
"Zdbf2","ENSMUSG00000027520","ZDBF2"
"Tmem202","ENSMUSG00000049526","TMEM202"
"Psmb11","ENSMUSG00000072423","PSMB11"
"Arhgap18","ENSMUSG00000039031","ARHGAP18"
"Irak3","ENSMUSG00000020227","IRAK3"
"Ift57","ENSMUSG00000032965","IFT57"
"Lyrm1","ENSMUSG00000030922","LYRM1"
"Ccdc175","ENSMUSG00000021086","CCDC175"
"Hapln2","ENSMUSG00000004894","HAPLN2"
"Fam151b","ENSMUSG00000034334","FAM151B"
"Otud4","ENSMUSG00000036990","OTUD4"
"Atl1","ENSMUSG00000021066","ATL1"
"Herc3","ENSMUSG00000029804","HERC3"
"Psd2","ENSMUSG00000024347","PSD2"
"Jakmip3","MGI:MGI:1921254","JAKMIP3"
"Dnm1l","ENSMUSG00000022789","DNM1L"
"Btbd11","ENSMUSG00000020042","BTBD11"
"Arsg","ENSMUSG00000020604","ARSG"
"Slc25a27","ENSMUSG00000023912","SLC25A27"
"Rap2b","ENSMUSG00000036894","RAP2B"
"Rftn2","ENSMUSG00000025978","RFTN2"
"Fcho1","ENSMUSG00000070000","FCHO1"
"Phf19","ENSMUSG00000026873","PHF19"
"Als2","ENSMUSG00000026024","ALS2"
"Traf3ip1","ENSMUSG00000034292","TRAF3IP1"
"Cpne4","ENSMUSG00000032564","CPNE4"
"Glyr1","ENSMUSG00000022536","GLYR1"
"Rd3","ENSMUSG00000049353","RD3"
"Nphp3","ENSMUSG00000032558","NPHP3"
"Msl1","ENSMUSG00000052915","MSL1"
"Rin2","ENSMUSG00000001768","RIN2"
"Sdr42e1","ENSMUSG00000034308","SDR42E1"
"Nol9","ENSMUSG00000028948","NOL9"
"Nfam1","ENSMUSG00000058099","NFAM1"
"Ddias","ENSMUSG00000030641","DDIAS"
"Pex26","ENSMUSG00000067825","PEX26"
"Ttf2","ENSMUSG00000033222","TTF2"
"Vsir","ENSMUSG00000020101","VSIR"
"Steap2","ENSMUSG00000015653","STEAP2"
"Ttc21a","ENSMUSG00000032514","TTC21A"
"Grip1","ENSMUSG00000034813","GRIP1"
"Plce1","ENSMUSG00000024998","PLCE1"
"Asz1","ENSMUSG00000010796","ASZ1"
"Lmntd1","ENSMUSG00000054966","LMNTD1"
"Syce1","ENSMUSG00000025480","SYCE1"
"Cep350","ENSMUSG00000033671","CEP350"
"Slc7a13","ENSMUSG00000041052","SLC7A13"
"Paqr5","ENSMUSG00000032278","PAQR5"
"Npl","ENSMUSG00000042684","NPL"
"Tjap1","ENSMUSG00000012296","TJAP1"
"Hvcn1","ENSMUSG00000064267","HVCN1"
"Pop7","ENSMUSG00000029715","POP7"
"0610037L13Rik","ENSMUSG00000028608","C1orf123"
"Arpp21","ENSMUSG00000032503","ARPP21"
"Slc35a5","ENSMUSG00000022664","SLC35A5"
"Abcb6","ENSMUSG00000026198","ABCB6"
"Gga2","ENSMUSG00000030872","GGA2"
"Dcaf6","ENSMUSG00000026571","DCAF6"
"Cep55","ENSMUSG00000024989","CEP55"
"Parn","ENSMUSG00000022685","PARN"
"Rbm19","ENSMUSG00000029594","RBM19"
"Usp16","ENSMUSG00000025616","USP16"
"Crot","ENSMUSG00000003623","CROT"
"Pi16","ENSMUSG00000024011","PI16"
"Actr3","ENSMUSG00000026341","ACTR3"
"Zfp263","ENSMUSG00000022529","ZNF263"
"Acoxl","ENSMUSG00000027380","ACOXL"
"Tmem43","ENSMUSG00000030095","TMEM43"
"Foxp4","ENSMUSG00000023991","FOXP4"
"Armc8","ENSMUSG00000032468","ARMC8"
"Syvn1","ENSMUSG00000024807","SYVN1"
"Krt80","ENSMUSG00000037185","KRT80"
"Dmgdh","ENSMUSG00000042102","DMGDH"
"Sash3","ENSMUSG00000031101","SASH3"
"Rnf6","ENSMUSG00000029634","RNF6"
"Smg8","ENSMUSG00000020495","SMG8"
"Cyp2s1","ENSMUSG00000040703","CYP2S1"
"Sec14l1","ENSMUSG00000020823","SEC14L1"
"Nuak2","ENSMUSG00000009772","NUAK2"
"Tm9sf1","ENSMUSG00000002320","TM9SF1"
"Lonp1","ENSMUSG00000041168","LONP1"
"Opa1","ENSMUSG00000038084","OPA1"
"Robo4","ENSMUSG00000032125","ROBO4"
"F13a1","ENSMUSG00000039109","F13A1"
"Ehhadh","ENSMUSG00000022853","EHHADH"
"Cluh","ENSMUSG00000020741","CLUH"
"Slc35f5","ENSMUSG00000026342","SLC35F5"
"Uba7","ENSMUSG00000032596","UBA7"
"Unkl","ENSMUSG00000015127","UNKL"
"Errfi1","ENSMUSG00000028967","ERRFI1"
"Acot12","ENSMUSG00000021620","ACOT12"
"Cmtr1","ENSMUSG00000024019","CMTR1"
"Acbd5","ENSMUSG00000026781","ACBD5"
"Nfx1","ENSMUSG00000028423","NFX1"
"Tmem38a","ENSMUSG00000031791","TMEM38A"
"Nudt9","ENSMUSG00000029310","NUDT9"
"Zdhhc16","ENSMUSG00000025157","ZDHHC16"
"Gtsf1","ENSMUSG00000022487","GTSF1"
"Tgm5","ENSMUSG00000053675","TGM5"
"Stk40","ENSMUSG00000042608","STK40"
"Muc5b","ENSMUSG00000066108","MUC5B"
"Gpcpd1","ENSMUSG00000027346","GPCPD1"
"Gbe1","ENSMUSG00000022707","GBE1"
"Ccdc3","ENSMUSG00000026676","CCDC3"
"Katnb1","ENSMUSG00000031787","KATNB1"
"Phactr3","ENSMUSG00000027525","PHACTR3"
"Exoc3l4","ENSMUSG00000021280","EXOC3L4"
"P2ry13","ENSMUSG00000036362","P2RY13"
"Arpc5l","ENSMUSG00000026755","ARPC5L"
"Rnd3","ENSMUSG00000017144","RND3"
"Elp3","ENSMUSG00000022031","ELP3"
"Ttc27","ENSMUSG00000024078","TTC27"
"Gtf2e1","ENSMUSG00000022828","GTF2E1"
"Dtx2","ENSMUSG00000004947","DTX2"
"Vit","ENSMUSG00000024076","VIT"
"2810403A07Rik","ENSMUSG00000028060","KIAA0907"
"Cep97","ENSMUSG00000022604","CEP97"
"Fblim1","ENSMUSG00000006219","FBLIM1"
"Eif4enif1","ENSMUSG00000020454","EIF4ENIF1"
"Xpo6","ENSMUSG00000000131","XPO6"
"Acsl3","ENSMUSG00000032883","ACSL3"
"Sipa1l3","ENSMUSG00000030583","SIPA1L3"
"1700017B05Rik","ENSMUSG00000032300","C15orf39"
"Rbm26","ENSMUSG00000022119","RBM26"
"1700016H13Rik","ENSMUSG00000029320","C4orf36"
"Tex37","ENSMUSG00000051896","TEX37"
"Sept14","ENSMUSG00000034219","SEPT14"
"Paqr8","ENSMUSG00000025931","PAQR8"
"1700016K19Rik","ENSMUSG00000053783","C17orf97"
"Tubgcp2","ENSMUSG00000025474","TUBGCP2"
"Mterf2","ENSMUSG00000049038","MTERF2"
"Iqce","ENSMUSG00000036555","IQCE"
"Chpf","ENSMUSG00000032997","CHPF"
"Slx4ip","ENSMUSG00000027281","SLX4IP"
"Atg7","ENSMUSG00000030314","ATG7"
"Ctbs","ENSMUSG00000028189","CTBS"
"Gale","ENSMUSG00000028671","GALE"
"Lrrc2","ENSMUSG00000032495","LRRC2"
"Ankrd9","ENSMUSG00000037904","ANKRD9"
"Armc1","ENSMUSG00000027599","ARMC1"
"Klrg2","ENSMUSG00000071537","KLRG2"
"Gpn1","ENSMUSG00000064037","GPN1"
"Smu1","ENSMUSG00000028409","SMU1"
"Cyld","ENSMUSG00000036712","CYLD"
"Tspan17","ENSMUSG00000025875","TSPAN17"
"Iqcf1","ENSMUSG00000066383","IQCF1"
"Aven","ENSMUSG00000003604","AVEN"
"Usp20","ENSMUSG00000026854","USP20"
"Mageb5","ENSMUSG00000061392","MAGEB5"
"Cldnd2","ENSMUSG00000038973","CLDND2"
"Chic2","ENSMUSG00000029229","CHIC2"
"Spatc1","ENSMUSG00000049653","SPATC1"
"Tbc1d21","ENSMUSG00000036244","TBC1D21"
"Kcmf1","ENSMUSG00000055239","KCMF1"
"Spem1","ENSMUSG00000041165","SPEM1"
"Ccdc182","ENSMUSG00000034031","CCDC182"
"Mtmr3","ENSMUSG00000034354","MTMR3"
"Prss46","ENSMUSG00000049719",NA
"Osbp2","ENSMUSG00000020435","OSBP2"
"Rnf145","ENSMUSG00000019189","RNF145"
"Isca2","ENSMUSG00000021241","ISCA2"
"Hopx","ENSMUSG00000059325","HOPX"
"Mettl23","ENSMUSG00000090266","METTL23"
"Wdr33","ENSMUSG00000024400","WDR33"
"Cxxc1","ENSMUSG00000024560","CXXC1"
"Cltb","ENSMUSG00000047547","CLTB"
"Hnrnpr","ENSMUSG00000066037","HNRNPR"
"Dnajc14","ENSMUSG00000025354","DNAJC14"
"Ranbp10","ENSMUSG00000037415","RANBP10"
"Xrcc3","ENSMUSG00000021287","XRCC3"
"Palm3","ENSMUSG00000047986","PALM3"
"Slc6a19","ENSMUSG00000021565","SLC6A19"
"Ahcyl2","ENSMUSG00000029772","AHCYL2"
"Lrrtm1","ENSMUSG00000060780","LRRTM1"
"Crtc2","ENSMUSG00000027936","CRTC2"
"Tldc1","ENSMUSG00000034105","TLDC1"
"Fam160a2","ENSMUSG00000044465","FAM160A2"
"Ddx23","ENSMUSG00000003360","DDX23"
"Zfp84","ENSMUSG00000046185","ZNF565"
"Lrguk","ENSMUSG00000056215","LRGUK"
"Smchd1","ENSMUSG00000024054","SMCHD1"
"4931428F04Rik","ENSMUSG00000014837","KIAA0895L"
"4931414P19Rik","ENSMUSG00000022179","C14orf93"
"Cep57","ENSMUSG00000031922","CEP57"
"Spag17","ENSMUSG00000027867","SPAG17"
"Lonrf3","ENSMUSG00000016239","LONRF3"
"Mei1","ENSMUSG00000068117","MEI1"
"Rptor","ENSMUSG00000025583","RPTOR"
"Clec16a","ENSMUSG00000068663","CLEC16A"
"Gcc1","ENSMUSG00000029708","GCC1"
"Myo18b","ENSMUSG00000072720","MYO18B"
"Hsf2bp","ENSMUSG00000002076","HSF2BP"
"Ap5m1","ENSMUSG00000036291","AP5M1"
"Rmi1","ENSMUSG00000035367","RMI1"
"4932438H23Rik","ENSMUSG00000039851","C21orf62"
"Dpp8","ENSMUSG00000032393","DPP8"
"Specc1l","ENSMUSG00000033444","SPECC1L"
"Map10","ENSMUSG00000050930","MAP10"
"Terb2","ENSMUSG00000027229","TERB2"
"Efhc2","ENSMUSG00000025038","EFHC2"
"Ttc25","ENSMUSG00000006784","TTC25"
"Ttll11","ENSMUSG00000026885","TTLL11"
"Plpp6","ENSMUSG00000040105","PLPP6"
"Gle1","ENSMUSG00000019715","GLE1"
"Tc2n","ENSMUSG00000021187","TC2N"
"Polr3c","ENSMUSG00000028099","POLR3C"
"Tktl2","ENSMUSG00000025519","TKTL2"
"Tmc5","ENSMUSG00000030650","TMC5"
"Eaf1","ENSMUSG00000021890","EAF1"
"4930452B06Rik","ENSMUSG00000021747","C3orf67"
"Sohlh2","ENSMUSG00000027794","CCDC169-SOHLH2"
"Lrriq3","ENSMUSG00000028182","LRRIQ3"
"Clvs1","ENSMUSG00000041216","CLVS1"
"Cmip","ENSMUSG00000034390","CMIP"
"Sgms2","ENSMUSG00000050931","SGMS2"
"P4htm","ENSMUSG00000006675","P4HTM"
"Slc9b1","ENSMUSG00000050150","SLC9B1"
"Arl13a","ENSMUSG00000052549","ARL13A"
"Pank2","ENSMUSG00000037514","PANK2"
"Pgs1","ENSMUSG00000017715","PGS1"
"Cfap53","ENSMUSG00000035394","CFAP53"
"Nsun6","ENSMUSG00000026707","NSUN6"
"Exoc3l2","ENSMUSG00000011263","EXOC3L2"
"Zswim5","ENSMUSG00000033948","ZSWIM5"
"Pus10","ENSMUSG00000020280","PUS10"
"Hyal5","ENSMUSG00000029678","SPAM1"
"Taf7l","ENSMUSG00000009596","TAF7L"
"Cep72","ENSMUSG00000021572","CEP72"
"Stpg3","ENSMUSG00000036770","STPG3"
"4933427D14Rik","ENSMUSG00000020807","KIAA0753"
"Snx29","ENSMUSG00000071669","SNX29"
"Snx11","ENSMUSG00000020876","SNX11"
"Samd4","ENSMUSG00000021838","SAMD4A"
"Batf2","ENSMUSG00000039699","BATF2"
"Lrrc71","ENSMUSG00000023084","LRRC71"
"Osbpl10","ENSMUSG00000040875","OSBPL10"
"Lrrc15","ENSMUSG00000052316","LRRC15"
"Mamstr","ENSMUSG00000042918","MAMSTR"
"Kbtbd13","ENSMUSG00000054978","KBTBD13"
"Tnks2","ENSMUSG00000024811","TNKS2"
"Gorasp1","ENSMUSG00000032513","GORASP1"
"Sost","ENSMUSG00000001494","SOST"
"Fam53a","ENSMUSG00000037339","FAM53A"
"Lrrc17","ENSMUSG00000039883","LRRC17"
"Neto2","ENSMUSG00000036902","NETO2"
"Ppp4r4","ENSMUSG00000021209","PPP4R4"
"Morc2a","ENSMUSG00000034543","MORC2"
"Fam234b","ENSMUSG00000030207","FAM234B"
"Mgme1","ENSMUSG00000027424","MGME1"
"Gzf1","ENSMUSG00000027439","GZF1"
"Gsdmc4","ENSMUSG00000055748","GSDMC"
"Mau2","ENSMUSG00000031858","MAU2"
"Pck2","ENSMUSG00000040618","PCK2"
"Nipal3","ENSMUSG00000028803","NIPAL3"
"Elovl7","ENSMUSG00000021696","ELOVL7"
"Rasgef1c","ENSMUSG00000020374","RASGEF1C"
"Mlkl","ENSMUSG00000012519","MLKL"
"Ttc17","ENSMUSG00000027194","TTC17"
"Zkscan1","ENSMUSG00000029729","ZKSCAN1"
"Kcnk16","ENSMUSG00000023387","KCNK16"
"Lvrn","ENSMUSG00000024481","LVRN"
"Glb1l","ENSMUSG00000026200","GLB1L"
"Pyroxd2","ENSMUSG00000060224","PYROXD2"
"Sppl3","ENSMUSG00000029550","SPPL3"
"Kbtbd12","ENSMUSG00000033182","KBTBD12"
"Abca12","ENSMUSG00000050296","ABCA12"
"Cds1","ENSMUSG00000029330","CDS1"
"Mrpl47","ENSMUSG00000037531","MRPL47"
"Abcb8","ENSMUSG00000028973","ABCB8"
"Ocstamp","ENSMUSG00000027670","OCSTAMP"
"Scrn3","ENSMUSG00000008226","SCRN3"
"Scpep1","ENSMUSG00000000278","SCPEP1"
"Tmem81","ENSMUSG00000048174","TMEM81"
"Shpk","ENSMUSG00000005951","SHPK"
"Fam46c","ENSMUSG00000044468","FAM46C"
"Spsb1","ENSMUSG00000039911","SPSB1"
"S100pbp","ENSMUSG00000040928","S100PBP"
"Cpa5","ENSMUSG00000029788","CPA5"
"Pomk","ENSMUSG00000037251","POMK"
"4930435E12Rik","ENSMUSG00000022798","C3orf30"
"Drc3","ENSMUSG00000056598","DRC3"
"4930432K21Rik","ENSMUSG00000008129","C19orf57"
"Ptchd3","ENSMUSG00000039198","PTCHD3"
"Wdr35","ENSMUSG00000066643","WDR35"
"Tdrd9","ENSMUSG00000054003","TDRD9"
"Tbc1d30","ENSMUSG00000052302","TBC1D30"
"Pih1d3","ENSMUSG00000026063","PIH1D3"
"Ttll9","ENSMUSG00000074673","TTLL9"
"Wbp2nl","ENSMUSG00000022455","WBP2NL"
"Spata17","ENSMUSG00000026611","SPATA17"
"Snx16","ENSMUSG00000027534","SNX16"
"Tmem114","ENSMUSG00000022715","TMEM114"
"Stx11","ENSMUSG00000039232","STX11"
"Rhoh","ENSMUSG00000029204","RHOH"
"Trim14","ENSMUSG00000039853","TRIM14"
"Pcf11","ENSMUSG00000041328","PCF11"
"C2cd5","ENSMUSG00000030279","C2CD5"
"Ddit4","ENSMUSG00000020108","DDIT4"
"Slamf8","ENSMUSG00000053318","SLAMF8"
"Trmo","ENSMUSG00000028331","TRMO"
"Dhcr24","ENSMUSG00000034926","DHCR24"
"Rab3il1","ENSMUSG00000024663","RAB3IL1"
"Mxra8","ENSMUSG00000029070","MXRA8"
"Mdga1","ENSMUSG00000043557","MDGA1"
"Naa60","ENSMUSG00000005982","NAA60"
"Klc4","ENSMUSG00000003546","KLC4"
"Yipf2","ENSMUSG00000032182","YIPF2"
"Pik3cb","ENSMUSG00000032462","PIK3CB"
"Hhatl","ENSMUSG00000032523","HHATL"
"Atp13a2","ENSMUSG00000036622","ATP13A2"
"Lmbr1l","ENSMUSG00000022999","LMBR1L"
"Ppa2","ENSMUSG00000028013","PPA2"
"Selenon","ENSMUSG00000050989","SELENON"
"Rrp7a","ENSMUSG00000018040","RRP7A"
"Wipi2","ENSMUSG00000029578","WIPI2"
"Glt8d2","ENSMUSG00000020251","GLT8D2"
"Naa15","ENSMUSG00000063273","NAA15"
"Manf","ENSMUSG00000032575","MANF"
"Usp38","ENSMUSG00000038250","USP38"
"Mss51","ENSMUSG00000021815","MSS51"
"Meikin","ENSMUSG00000020332","MEIKIN"
"Fam228a","ENSMUSG00000079177","FAM228A"
"Tmem65","ENSMUSG00000062373","TMEM65"
"Morn3","ENSMUSG00000029477","MORN3"
"Ccdc181","ENSMUSG00000026578","CCDC181"
"Kbtbd11","ENSMUSG00000055675","KBTBD11"
"Atp6v1e2","ENSMUSG00000053375","ATP6V1E2"
"Iqca","ENSMUSG00000026301","IQCA1"
"Slc35f6","ENSMUSG00000029175","SLC35F6"
"Armc4","ENSMUSG00000061802","ARMC4"
"Lrriq1","ENSMUSG00000019892","LRRIQ1"
"Usp47","ENSMUSG00000059263","USP47"
"Rab11fip2","ENSMUSG00000040022","RAB11FIP2"
"Tmprss12","ENSMUSG00000045631","TMPRSS12"
"Mindy1","ENSMUSG00000038712","MINDY1"
"Rnase10","ENSMUSG00000021872","RNASE10"
"Purg","ENSMUSG00000049184","PURG"
"Mei4","ENSMUSG00000043289","MEI4"
"Kif27","ENSMUSG00000060176","KIF27"
"Ccdc173","ENSMUSG00000070883","CCDC173"
"Sf3a3","ENSMUSG00000028902","SF3A3"
"Zbtb49","ENSMUSG00000029127","ZBTB49"
"Usp50","ENSMUSG00000027364","USP50"
"4930505A04Rik","ENSMUSG00000040919","C2orf73"
"Uhrf1bp1l","ENSMUSG00000019951","UHRF1BP1L"
"Lysmd4","ENSMUSG00000043831","LYSMD4"
"Mmd2","ENSMUSG00000039533","MMD2"
"Zc2hc1b","ENSMUSG00000019815","ZC2HC1B"
"Nxnl2","ENSMUSG00000021396","NXNL2"
"Rprd2","ENSMUSG00000028106","RPRD2"
"Rasd2","ENSMUSG00000034472","RASD2"
"Mfsd13a","ENSMUSG00000025227","MFSD13A"
"Ccdc146","ENSMUSG00000064280","CCDC146"
"Tex38","ENSMUSG00000044556","TEX38"
"Meiob","ENSMUSG00000024155","MEIOB"
"Tmem269","ENSMUSG00000028642","TMEM269"
"Ankrd7","ENSMUSG00000029517","ANKRD7"
"Sv2c","ENSMUSG00000051111","SV2C"
"Prr3","ENSMUSG00000038500","PRR3"
"Rnf121","ENSMUSG00000070426","RNF121"
"Cep128","ENSMUSG00000061533","CEP128"
"Dusp18","ENSMUSG00000047205","DUSP18"
"Dpp3","ENSMUSG00000063904","DPP3"
"Rnf19b","ENSMUSG00000028793","RNF19B"
"Tomm20l","ENSMUSG00000021078","TOMM20L"
"Erich6b","ENSMUSG00000022002","ERICH6B"
"Pelp1","ENSMUSG00000018921","PELP1"
"Ppp1r1c","ENSMUSG00000034683","PPP1R1C"
"Bcdin3d","ENSMUSG00000037525","BCDIN3D"
"Slc35f4","ENSMUSG00000021852","SLC35F4"
"Zbtb3","ENSMUSG00000071661","ZBTB3"
"Prkd3","ENSMUSG00000024070","PRKD3"
"Fgfr1op","ENSMUSG00000069135","FGFR1OP"
"Asxl2","ENSMUSG00000037486","ASXL2"
"4930563E22Rik","MGI:MGI:1922554","C17orf100"
"Ankrd53","ENSMUSG00000014747","ANKRD53"
"4930550C14Rik","ENSMUSG00000005131","C11orf65"
"Taf1d","ENSMUSG00000031939","TAF1D"
"Parpbp","ENSMUSG00000035365","PARPBP"
"Etnk1","ENSMUSG00000030275","ETNK1"
"Atf7ip2","ENSMUSG00000039200","ATF7IP2"
"Ccdc83","ENSMUSG00000030617","CCDC83"
"Mphosph8","ENSMUSG00000079184","MPHOSPH8"
"Slamf7","ENSMUSG00000038179","SLAMF7"
"4930558K02Rik","ENSMUSG00000086277","C1orf105"
"Sirt4","ENSMUSG00000029524","SIRT4"
"Boll","ENSMUSG00000025977","BOLL"
"Spp2","ENSMUSG00000026295","SPP2"
"Mrpl32","ENSMUSG00000015672","MRPL32"
"Defb29","ENSMUSG00000044249","DEFB116"
"Arhgap36","ENSMUSG00000036198","ARHGAP36"
"Ndufs7","ENSMUSG00000020153","NDUFS7"
"Slitrk5","ENSMUSG00000033214","SLITRK5"
"Kmt2b","ENSMUSG00000006307","KMT2B"
"Arhgap12","ENSMUSG00000041225","ARHGAP12"
"Nop14","ENSMUSG00000036693","NOP14"
"Secisbp2","ENSMUSG00000035139","SECISBP2"
"Mettl5","ENSMUSG00000051730","METTL5"
"Arl5a","ENSMUSG00000036093","ARL5A"
"Tti1","ENSMUSG00000027650","TTI1"
"Igfbpl1","ENSMUSG00000035551","IGFBPL1"
"1700001C02Rik","ENSMUSG00000029182","C2orf70"
"1700006E09Rik","ENSMUSG00000010841","C17orf105"
"Ascc2","ENSMUSG00000020412","ASCC2"
"Ccdc7b","ENSMUSG00000056018","CCDC7"
"Phpt1","ENSMUSG00000036504","PHPT1"
"Prps1l1","ENSMUSG00000092305","PRPS1L1"
"Cklf","ENSMUSG00000054400","CKLF"
"Syce3","ENSMUSG00000078938","SYCE3"
"1700001C19Rik","ENSMUSG00000047150",NA
"Dynlrb2","ENSMUSG00000034467","DYNLRB2"
"Stpg4","ENSMUSG00000036557","STPG4"
"Spata19","ENSMUSG00000031991","SPATA19"
"Iqcf5","ENSMUSG00000066382","IQCF5"
"Cfap126","ENSMUSG00000026649","CFAP126"
"Oplah","ENSMUSG00000022562","OPLAH"
"Pfn3","ENSMUSG00000044444","PFN3"
"Hspb9","ENSMUSG00000017832","HSPB9"
"Morn5","ENSMUSG00000026894","MORN5"
"Fabp12","ENSMUSG00000027530","FABP12"
"Cmtm2b","ENSMUSG00000035785","CMTM2"
